,,cc_mean,cc_var,wc
max_avg_bet,6900,21.725,22.664166666666667,167.1
max_avg_bet,6950,21.76875,22.892083333333336,168.1
max_avg_bet,7000,21.85625,22.86625,169.0
max_avg_bet,7050,21.925,23.39083333333333,169.8
max_avg_bet,7100,21.94375,22.91875,170.5
max_avg_bet,7150,21.975,23.3225,171.3
max_avg_bet,7200,22.01875,23.092083333333335,171.8
max_avg_bet,7250,22.05,23.19333333333333,171.9
max_avg_bet,7300,22.04375,22.782916666666665,171.4
max_avg_bet,7350,22.075,22.790833333333335,171.6
max_avg_bet,7400,22.19375,23.087916666666665,173.0
max_avg_bet,7450,22.18125,23.039583333333333,173.3
max_avg_bet,7500,22.24375,23.524583333333332,173.9
max_avg_bet,7550,22.26875,23.59541666666667,174.4
max_avg_bet,7600,22.26875,23.536250000000003,174.8
max_avg_bet,7650,22.30625,23.692083333333333,175.4
max_avg_bet,7700,22.31875,23.82791666666667,175.5
max_avg_bet,7750,22.375,24.274166666666666,175.8
max_avg_bet,7800,22.40625,24.501250000000002,176.5
max_avg_bet,7850,22.41875,24.327083333333334,176.4
max_avg_bet,7900,22.4625,24.70416666666667,176.7
max_avg_bet,7950,22.575,24.297499999999996,177.7
max_avg_bet,8000,22.675,25.03666666666667,178.2
max_avg_bet,8050,22.70625,24.932916666666664,178.5
max_avg_bet,8100,22.775,24.6025,179.5
max_avg_bet,8150,22.8,24.571666666666665,179.5
max_avg_bet,8200,22.85,24.549166666666668,180.0
max_avg_bet,8250,22.7875,24.367499999999996,180.1
max_avg_bet,8300,22.86875,24.496250000000003,181.6
max_avg_bet,8350,22.9375,24.607499999999998,182.0
max_avg_bet,8400,23.01875,25.089583333333337,182.7
max_avg_bet,8450,23.05,25.17166666666667,182.7
max_avg_bet,8500,23.09375,25.024583333333332,183.1
